item_code,item_name,category,unit_cost,unit_price,units_in_stock,volume_m3,order_frequency,avg_delivery_days,stockout_days_per_year,avg_days_in_stock,monthly_sales_jan,monthly_sales_feb,monthly_sales_mar,monthly_sales_apr,monthly_sales_may,monthly_sales_jun,monthly_sales_jul,monthly_sales_aug,monthly_sales_sep,monthly_sales_oct,monthly_sales_nov,monthly_sales_dec
ITM013,Royco Kaldu Ayam,Bumbu Dapur,3500,5000,200,0.0001,36,3,5,10,175,170,180,173,183,181,176,169,172,177,181,185
ITM014,Tepung Terigu Segitiga 1kg,Bahan Pokok,11000,14000,100,0.001,12,4,12,20,85,82,88,84,90,89,86,81,83,87,89,91
ITM015,Susu Ultra Milk 250ml,Minuman,5500,7500,220,0.0003,36,2,6,11,195,190,200,193,203,201,196,189,192,197,201,205
ITM016,Kopi Kapal Api Sachet,Minuman,2000,3000,350,0.0001,48,2,4,8,320,310,330,315,335,333,322,308,313,323,331,338
ITM017,Snack Chitato,Makanan Ringan,8500,12000,80,0.002,12,5,25,40,55,48,62,50,68,72,58,45,49,57,65,74
ITM018,Snack Taro,Makanan Ringan,7000,10000,60,0.002,8,6,30,50,38,30,45,33,52,58,41,27,31,40,49,60
ITM019,Wafer Tango,Makanan Ringan,6500,9000,90,0.001,12,4,18,28,65,58,72,61,78,82,67,54,58,66,74,84
ITM020,Biskuit Roma Kelapa,Makanan Ringan,9000,13000,70,0.001,8,5,22,35,48,41,55,44,61,65,50,37,41,49,57,67
ITM021,Deterjen Rinso 800g,Kebersihan,22000,28000,130,0.002,12,5,14,22,108,103,113,106,116,114,109,102,105,110,114,118
ITM022,Softener Molto 900ml,Kebersihan,18000,24000,90,0.001,8,6,20,32,68,61,75,64,80,84,70,57,61,69,77,87
ITM023,Pembersih Lantai Wipol,Kebersihan,12000,16500,110,0.001,12,4,15,24,88,83,93,86,96,94,89,82,85,90,94,98
ITM024,Tisu Paseo 250 sheet,Kebersihan,12500,17000,100,0.001,12,5,16,26,78,73,83,76,86,84,79,72,75,80,84,88
ITM025,Pembalut Charm,Perawatan Diri,18000,24000,85,0.001,8,4,18,30,58,51,65,54,70,74,60,47,51,59,67,77
ITM026,Popok Pampers M,Perawatan Bayi,85000,110000,40,0.005,4,7,35,55,25,18,32,21,38,42,27,14,18,26,34,44
ITM027,Susu Formula SGM 400g,Perawatan Bayi,95000,125000,30,0.003,4,8,40,60,18,11,25,14,31,35,20,7,11,19,27,37
ITM028,Bedak Bayi Johnson,Perawatan Bayi,32000,42000,55,0.001,6,5,28,45,35,28,42,31,48,52,37,24,28,36,44,54
ITM029,Minyak Telon Lang,Perawatan Bayi,22000,30000,65,0.0005,8,4,22,36,45,38,52,41,58,62,47,34,38,46,54,64
ITM030,Vitamin C Redoxon,Kesehatan,35000,48000,75,0.0002,6,5,20,32,52,47,57,50,60,64,53,44,48,54,60,68
ITM031,Paracetamol Generik,Kesehatan,3500,6000,200,0.0001,12,3,8,14,172,165,178,168,180,178,173,164,168,175,179,184
ITM032,Antangin JRG,Kesehatan,8000,12000,120,0.0002,8,4,18,30,88,81,95,84,100,104,89,76,80,88,96,106
ITM033,Tolak Angin Sido Muncul,Kesehatan,12000,17000,100,0.0002,8,4,15,25,72,65,79,68,84,88,73,60,64,72,80,90
ITM034,Masker Medis 50pcs,Kesehatan,35000,50000,45,0.001,4,6,30,50,22,15,29,18,35,39,24,11,15,23,31,41
ITM035,Hand Sanitizer Antis,Kesehatan,15000,22000,60,0.0002,6,4,22,36,38,31,45,34,51,55,40,27,31,39,47,57
ITM036,Kabel Charger USB,Elektronik,15000,35000,25,0.0002,2,10,45,70,8,3,13,4,18,20,9,0,2,8,14,20
ITM037,Baterai ABC AA,Elektronik,8000,14000,40,0.0001,4,7,35,55,18,11,25,14,31,35,20,7,11,19,27,37
ITM038,Lampu LED Philips 10W,Elektronik,28000,45000,20,0.001,2,12,50,80,5,0,10,1,15,17,6,0,0,4,10,16
ITM039,Selotip Bening,Alat Tulis,3500,6000,150,0.0001,12,3,10,18,122,117,127,120,130,128,123,116,119,124,128,132
ITM040,Pulpen Pilot,Alat Tulis,4500,7500,200,0.0001,12,3,8,14,172,167,177,170,180,178,173,166,169,174,178,182
ITM041,Buku Tulis Sidu,Alat Tulis,5500,8500,180,0.0003,8,4,15,25,138,131,145,134,150,154,139,126,130,138,146,156
ITM042,Amplop Putih,Alat Tulis,6000,9500,120,0.0002,4,5,25,40,78,71,85,74,90,94,79,66,70,78,86,96
ITM043,Lem Fox Putih,Alat Tulis,8500,13000,80,0.0002,4,5,28,45,48,41,55,44,61,65,50,37,41,49,57,67
ITM044,Gunting Kecil,Alat Tulis,12000,20000,35,0.0003,2,7,40,65,12,7,17,8,22,24,13,2,5,11,17,23
ITM045,Sirup Marjan Cocopandan,Minuman,22000,30000,55,0.001,4,5,0,15,5,4,6,5,8,45,48,6,4,5,6,50
ITM046,Kembang Gula Kopiko,Makanan Ringan,1500,2500,400,0.0001,48,2,3,6,368,358,378,363,383,381,370,356,361,371,379,387
ITM047,Teh Celup Sariwangi,Minuman,8500,12000,160,0.0001,24,3,7,13,132,127,137,130,140,138,133,126,129,134,138,142
ITM048,Madu TJ 350g,Kesehatan,55000,75000,25,0.0003,2,8,45,70,8,3,13,4,18,20,9,0,2,8,14,20
ITM049,Kerupuk Udang,Makanan Ringan,12000,18000,45,0.003,4,6,32,52,22,15,29,18,35,39,24,11,15,23,31,41
ITM050,Mie Sedaap Goreng,Makanan Instan,2800,3800,420,0.002,48,2,4,9,388,378,398,383,403,401,390,376,381,391,399,407
